SH800,
X,Y
0.0005 , 16.4928
0.0001 , 9.0940
0.0029 , 18.9404
-0.0005 , 11.2229
0.0400 , 25.1253
0.0736 , 27.0016
0.0983 , 27.9315
0.1292 , 28.7693
0.1556 , 29.2974
0.2626 , 30.5477
0.5004 , 31.5281
0.5991 , 31.6679
0.7996 , 31.9523
0.8986 , 32.1525
0.6993 , 31.8390
0.9745 , 32.5720
0.9499 , 32.3887
0.3480 , 31.0602
0.3155 , 30.8770
0.0493 , 25.7461
0.0300 , 24.3030
0.0189 , 23.1348
0.0090 , 21.4398
0.0074 , 20.8901
0.0049 , 20.1113
0.0008 , 18.2330
0.0000 , 13.5144
0.2112 , 30.0524
