N-8,
X,Y
0.8280 , 6.7350
0.7141 , 6.7152
0.6205 , 6.6492
0.4907 , 6.6447
0.3939 , 6.5736
0.2934 , 6.5128
0.2081 , 6.4519
0.1507 , 6.4010
0.0914 , 6.2735
0.0378 , 6.0641
