C-800-40,
X,Y
0.9965 , 275.0331
0.7802 , 264.9985
0.5897 , 244.8667
0.4997 , 240.4915
0.3796 , 232.5019
0.2595 , 230.2044
0.1995 , 225.3040
0.0593 , 210.0751
0.0117 , 192.7523
