C-800-60,
X,Y
0.9985 , 367.6587
0.7801 , 345.4643
0.5891 , 320.6754
0.5001 , 315.2650
0.3800 , 302.8770
0.2600 , 297.9921
0.2005 , 283.0010
0.0602 , 268.2896
0.0116 , 233.1146
