H-800-40,
X,Y
0.9969 , 270.6243
0.7793 , 248.5623
0.5902 , 235.8113
0.4995 , 228.0175
0.3798 , 220.7253
0.2601 , 210.5924
0.1995 , 202.8142
0.1202 , 200.7074
0.0601 , 188.0230
0.0083 , 167.8542
