ML_0%_bo,
X,Y
0.9984 , 50.1677
0.9980 , 41.4842
0.9980 , 33.7654
0.9976 , 31.8359
0.9892 , 27.9805
0.9034 , 27.5395
0.8113 , 27.1015
0.7123 , 26.6668
0.6262 , 26.7084
0.5256 , 27.2393
0.4255 , 27.2876
0.3233 , 27.8193
0.2255 , 27.8665
0.1382 , 27.9086
0.0469 , 26.9878
0.0160 , 23.6257
-0.0040 , 19.2936
