CAC270-4,
X,Y
0.9872 , 1.7641
0.9323 , 1.3223
0.8718 , 1.2388
0.8097 , 1.1552
0.7492 , 1.1130
0.6881 , 1.0708
0.6210 , 1.0423
0.5566 , 1.0001
0.4961 , 0.9855
0.4329 , 0.9570
0.3718 , 0.9424
0.3080 , 0.8864
0.2902 , 0.8862
0.2741 , 0.8721
0.2558 , 0.8443
0.2375 , 0.8441
0.2220 , 0.8301
0.2042 , 0.8023
0.1870 , 0.7882
0.1704 , 0.7604
0.1532 , 0.7602
0.1321 , 0.7324
0.1127 , 0.7183
0.0954 , 0.6767
0.0760 , 0.6627
0.0566 , 0.6210
0.0377 , 0.5794
0.0200 , 0.5103
0.0033 , 0.3998
