SampleB,
X,Y
0.0373 , 376.5168
0.1444 , 429.1083
0.2378 , 441.9342
0.2882 , 443.5180
0.3822 , 454.0975
0.4861 , 461.3096
0.5879 , 464.2529
0.6982 , 469.2199
0.7927 , 474.6326
0.8887 , 492.6260
0.9696 , 503.8765
