0,0037	104,1604
0,0519	114,2965
0,1544	117,7761
0,2381	118,5325
0,3175	119,5915
0,3850	120,1967
0,4437	121,4070
0,4900	121,8608
0,5306	122,1634
0,5650	122,7685
0,5962	123,0711
0,6225	123,2224
0,6469	123,2224
0,6731	123,2224
0,6950	123,5250
0,7163	123,8275
0,7350	123,8275
0,7494	123,9788
0,7644	123,9788
0,7788	123,9788
0,7881	123,8275
0,7981	123,8275
0,8106	124,1301
0,8206	124,1301
0,8394	124,8865
0,8512	124,8865
0,8625	125,6430
0,8700	125,6430
0,8775	125,6430
0,8838	125,6430
0,8888	125,6430
0,8975	125,7943
0,9087	125,6430
0,9212	125,9455
0,9319	125,7943
0,9638	126,8533
0,9744	127,4584
